Store,DayOfWeek,Date,Sales,Customers,Open,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear,DayOfYear,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,Dow_sin,Dow_cos,CompetitionOpenMonths,CompetitionDistanceBin,Promo2Active,PromoOpenMonths,Promo_DayOfWeek,Promo_Competition,Promo2_Competition,LogSales,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c
11,5,2015-07-31,10457,1236,1,1,1,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,45.6,1,1,43.56666666666667,5,960.0,960.0,9.255122514748075,1,0,0,0,0,0,1,1,0,0,0
12,5,2015-07-31,8959,962,1,1,1,1070.0,0,0,1,13,2010,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,1,1,67.9,5,1070.0,1070.0,9.100525505968976,1,0,0,0,0,0,1,1,0,0,0
13,5,2015-07-31,8821,568,1,1,0,310.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0,0,80.06666666666666,5,310.0,0.0,9.085003880664885,0,0,0,1,1,0,0,1,0,0,0
14,5,2015-07-31,6544,710,1,1,1,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,17.233333333333334,1,1,55.733333333333334,5,1300.0,1300.0,8.786456678344,1,0,0,0,1,0,0,1,0,0,0
15,5,2015-07-31,9191,766,1,1,1,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,65.93333333333334,2,1,55.733333333333334,5,4110.0,4110.0,9.126088819528592,0,0,0,1,0,0,1,1,0,0,0
16,5,2015-07-31,10231,979,1,1,1,3270.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,3270.0,0.0,9.23327534325868,1,0,0,0,0,0,1,1,0,0,0
17,5,2015-07-31,8430,946,1,1,1,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,117.63333333333334,0,1,67.9,5,50.0,50.0,9.039670667922676,1,0,0,0,1,0,0,1,0,0,0
18,5,2015-07-31,10071,936,1,1,1,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,62.86666666666667,4,1,43.56666666666667,5,13840.0,13840.0,9.217514575724183,0,0,0,1,0,0,1,1,0,0,0
19,5,2015-07-31,8234,718,1,1,1,3240.0,0,0,1,22,2011,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,55.733333333333334,5,3240.0,0.0,9.016148642611741,1,0,0,0,0,0,1,1,0,0,0
20,5,2015-07-31,9593,974,1,1,0,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,76.06666666666666,2,1,19.2,5,2340.0,2340.0,9.168893182062009,0,0,0,1,1,0,0,1,0,0,0
21,5,2015-07-31,9515,682,1,1,1,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,192.73333333333332,1,1,80.06666666666666,5,550.0,550.0,9.160729871422848,0,0,1,0,0,0,1,1,0,0,0
22,5,2015-07-31,6566,633,1,1,0,1040.0,0,0,1,22,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,1,1,43.56666666666667,5,1040.0,1040.0,8.789812386190972,1,0,0,0,1,0,0,1,0,0,0
23,5,2015-07-31,7273,560,1,1,1,4060.0,8,2005,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,121.7,2,0,0.0,5,4060.0,0.0,8.892061625546935,0,0,0,1,1,0,0,1,0,0,0
24,5,2015-07-31,14190,1082,1,1,1,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,187.66666666666666,2,1,55.733333333333334,5,4590.0,4590.0,9.560363239834537,1,0,0,0,0,0,1,1,0,0,0
25,5,2015-07-31,14180,1586,1,1,1,430.0,4,2003,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,150.13333333333333,0,0,0.0,5,430.0,0.0,9.559658319461347,0,0,1,0,1,0,0,1,0,0,0
26,5,2015-07-31,7818,611,1,1,1,2300.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,2300.0,0.0,8.964311948124514,0,0,0,1,1,0,0,1,0,0,0
27,5,2015-07-31,13213,1263,1,1,1,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,128.76666666666668,0,1,55.733333333333334,5,60.0,60.0,9.48903215258983,1,0,0,0,1,0,0,1,0,0,0
28,5,2015-07-31,7301,663,1,1,1,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,10.1,1,0,7.033333333333333,5,1200.0,0.0,8.895903562215581,1,0,0,0,1,0,0,1,0,0,0
29,5,2015-07-31,9411,737,1,1,1,2170.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,2170.0,0.0,9.149740749847252,0,0,0,1,0,0,1,1,0,0,0
30,5,2015-07-31,4776,625,1,1,1,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,18.166666666666668,0,0,19.2,5,40.0,0.0,8.471568013389962,1,0,0,0,1,0,0,1,0,0,0
31,5,2015-07-31,7248,645,1,1,1,9800.0,7,2012,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,37.5,3,0,0.0,5,9800.0,0.0,8.888618807300878,0,0,0,1,0,0,1,1,0,0,0
32,5,2015-07-31,6395,635,1,1,0,2910.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,80.06666666666666,5,2910.0,0.0,8.763428073953845,1,0,0,0,1,0,0,1,0,0,0
33,5,2015-07-31,10789,915,1,1,1,1320.0,5,2013,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,27.366666666666667,1,0,0.0,5,1320.0,0.0,9.28637505825218,1,0,0,0,0,0,1,1,0,0,0
34,5,2015-07-31,11144,1162,1,1,1,2240.0,9,2009,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,71.96666666666667,2,0,0.0,5,2240.0,0.0,9.31874624581997,0,0,1,0,1,0,0,1,0,0,0
35,5,2015-07-31,12412,777,1,1,1,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,180.53333333333333,3,1,43.56666666666667,5,7660.0,7660.0,9.426499589515949,0,0,0,1,0,0,1,1,0,0,0
36,5,2015-07-31,12422,1251,1,1,0,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,148.1,1,1,19.2,5,540.0,540.0,9.427304872213677,1,0,0,0,0,0,1,1,0,0,0
37,5,2015-07-31,9091,888,1,1,1,4230.0,12,2014,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,8.066666666666666,2,0,0.0,5,4230.0,0.0,9.115150184972434,0,0,1,0,1,0,0,1,0,0,0
38,5,2015-07-31,7434,608,1,1,1,1090.0,4,2007,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,101.43333333333334,1,0,0.0,5,1090.0,0.0,8.913953858894255,0,0,0,1,1,0,0,1,0,0,0
39,5,2015-07-31,8336,929,1,1,1,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,107.5,0,0,31.366666666666667,5,260.0,0.0,9.028458718410613,1,0,0,0,1,0,0,1,0,0,0
40,5,2015-07-31,5464,678,1,1,1,180.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0,0,80.06666666666666,5,180.0,0.0,8.60611940061064,1,0,0,0,1,0,0,1,0,0,0
41,5,2015-07-31,6938,494,1,1,0,1180.0,0,0,1,31,2013,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,1,1,31.366666666666667,5,1180.0,1180.0,8.844912950899548,0,0,0,1,0,0,1,1,0,0,0
42,5,2015-07-31,11946,1235,1,1,1,290.0,0,0,1,40,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0,1,55.733333333333334,5,290.0,290.0,9.388235479817224,1,0,0,0,0,0,1,1,0,0,0
43,5,2015-07-31,8096,683,1,1,1,4880.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,1,80.06666666666666,5,4880.0,4880.0,8.999248901686114,0,0,0,1,1,0,0,1,0,0,0
44,5,2015-07-31,6670,665,1,1,1,540.0,6,2011,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,50.7,1,0,0.0,5,540.0,0.0,8.805525052709516,1,0,0,0,1,0,0,1,0,0,0
45,5,2015-07-31,6301,442,1,1,1,9710.0,2,2014,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,18.166666666666668,3,0,0.0,5,9710.0,0.0,8.74862232231722,0,0,0,1,1,0,0,1,0,0,0
46,5,2015-07-31,7628,775,1,1,0,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,120.66666666666667,1,1,55.733333333333334,5,1200.0,1200.0,8.93971205409023,0,0,1,0,1,0,0,1,0,0,0
47,5,2015-07-31,9379,1021,1,1,1,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,28.366666666666667,0,1,31.366666666666667,5,270.0,270.0,9.14633504200027,1,0,0,0,0,0,1,1,0,0,0
48,5,2015-07-31,3874,390,1,1,1,1060.0,5,2012,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,39.53333333333333,1,0,0.0,5,1060.0,0.0,8.262300941787448,1,0,0,0,1,0,0,1,0,0,0
49,5,2015-07-31,10310,666,1,1,1,18010.0,9,2007,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,96.33333333333333,4,0,0.0,5,18010.0,0.0,9.240966565517944,0,0,0,1,0,0,1,1,0,0,0
50,5,2015-07-31,5729,441,1,1,1,6260.0,11,2009,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,69.93333333333334,3,0,0.0,5,6260.0,0.0,8.653470809708786,0,0,0,1,1,0,0,1,0,0,0
51,5,2015-07-31,9198,610,1,1,0,10570.0,7,2013,1,9,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,25.333333333333332,4,1,55.733333333333334,5,10570.0,10570.0,9.126850061477157,1,0,0,0,0,0,1,1,0,0,0
52,5,2015-07-31,8031,527,1,1,0,450.0,4,2014,1,39,2010,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,16.2,0,1,67.9,5,450.0,450.0,8.99118884193151,0,0,0,1,0,0,1,1,0,0,0
53,5,2015-07-31,7540,690,1,1,1,30360.0,9,2013,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,23.266666666666666,4,0,0.0,5,30360.0,0.0,8.928110078202646,1,0,0,0,0,0,1,1,0,0,0
54,5,2015-07-31,10732,889,1,1,1,7170.0,8,2014,1,5,2013,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,12.133333333333333,3,0,31.366666666666667,5,7170.0,0.0,9.281078386481525,0,0,0,1,0,0,1,1,0,0,0
55,5,2015-07-31,6096,673,1,1,1,720.0,11,2004,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,130.8,1,0,0.0,5,720.0,0.0,8.715552125907816,1,0,0,0,1,0,0,1,0,0,0
56,5,2015-07-31,10022,619,1,1,1,6620.0,3,2012,1,10,2014,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,41.56666666666667,3,0,19.2,5,6620.0,0.0,9.212637731024866,0,0,0,1,0,0,1,1,0,0,0
57,5,2015-07-31,11594,1025,1,1,1,420.0,6,2014,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,14.166666666666666,0,0,0.0,5,420.0,0.0,9.358329249689632,0,0,0,1,0,0,1,1,0,0,0
58,5,2015-07-31,8581,603,1,1,0,7340.0,5,2008,1,27,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,88.23333333333333,3,1,43.56666666666667,5,7340.0,7340.0,9.05742226555147,1,0,0,0,0,0,1,1,0,0,0
59,5,2015-07-31,7148,628,1,1,1,2840.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,99.4,2,1,55.733333333333334,5,2840.0,2840.0,8.874727765766853,1,0,0,0,0,0,1,1,0,0,0
60,5,2015-07-31,9762,776,1,1,1,5540.0,10,2009,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,70.96666666666667,3,0,0.0,5,5540.0,0.0,9.186355009225672,0,0,0,1,0,0,1,1,0,0,0
61,5,2015-07-31,5572,665,1,1,1,350.0,12,2007,1,1,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,93.3,0,1,43.56666666666667,5,350.0,350.0,8.625688787569537,1,0,0,0,0,0,1,1,0,0,0
62,5,2015-07-31,7495,772,1,1,1,2050.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,2050.0,0.0,8.922124823918258,1,0,0,0,1,0,0,1,0,0,0
63,5,2015-07-31,11525,846,1,1,1,3700.0,6,2010,1,18,2010,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,62.86666666666667,2,0,67.9,5,3700.0,0.0,9.352360631996612,0,0,1,0,0,0,1,1,0,0,0
64,5,2015-07-31,13251,935,1,1,1,22560.0,0,0,1,14,2013,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,4,1,31.366666666666667,5,22560.0,22560.0,9.491903763419787,0,0,0,1,0,0,1,1,0,0,0
65,5,2015-07-31,7156,561,1,1,1,13840.0,5,2010,1,1,2012,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,63.9,4,1,43.56666666666667,5,13840.0,13840.0,8.875846177738598,1,0,0,0,0,0,1,1,0,0,0
66,5,2015-07-31,8306,636,1,1,1,7660.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,3,1,80.06666666666666,5,7660.0,7660.0,9.02485381183907,0,0,0,1,1,0,0,1,0,0,0
67,5,2015-07-31,11035,912,1,1,1,410.0,2,2006,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,115.56666666666666,0,0,0.0,5,410.0,0.0,9.308917935337178,1,0,0,0,0,0,1,1,0,0,0
68,5,2015-07-31,11187,1341,1,1,1,250.0,0,0,1,35,2012,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0,0,43.56666666666667,5,250.0,0.0,9.32259705432185,1,0,0,0,0,0,1,1,0,0,0
69,5,2015-07-31,11204,1371,1,1,1,1130.0,0,0,1,40,2011,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,1,1,55.733333333333334,5,1130.0,1130.0,9.324115386235027,0,0,1,0,0,0,1,1,0,0,0
70,5,2015-07-31,8613,741,1,1,1,4840.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,4840.0,0.0,9.061144065614055,0,0,1,0,0,0,1,1,0,0,0
71,5,2015-07-31,11545,869,1,1,1,17500.0,8,2008,1,37,2009,"Mar,Jun,Sept,Dec",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,85.16666666666667,4,0,80.06666666666666,5,17500.0,0.0,9.354094335620879,1,0,0,0,1,0,0,1,0,0,0
72,5,2015-07-31,5251,520,1,1,0,2200.0,12,2009,1,13,2010,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,68.93333333333334,2,1,67.9,5,2200.0,2200.0,8.566364235422688,1,0,0,0,1,0,0,1,0,0,0
73,5,2015-07-31,6026,537,1,1,1,1650.0,9,2008,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,84.13333333333334,1,0,0.0,5,1650.0,0.0,8.704004653483045,1,0,0,0,0,0,1,1,0,0,0
74,5,2015-07-31,7518,929,1,1,1,330.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,0,0,0.0,5,330.0,0.0,8.925188429378027,1,0,0,0,1,0,0,1,0,0,0
75,5,2015-07-31,7444,807,1,1,1,22440.0,12,2013,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,20.233333333333334,4,0,0.0,5,22440.0,0.0,8.915297945118109,0,0,0,1,0,0,1,1,0,0,0
76,5,2015-07-31,12887,1228,1,1,0,19960.0,3,2006,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,114.63333333333334,4,0,0.0,5,19960.0,0.0,9.464051924856811,0,0,0,1,0,0,1,1,0,0,0
77,5,2015-07-31,10335,780,1,1,1,1090.0,8,2009,1,10,2014,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,73.0,1,1,19.2,5,1090.0,1090.0,9.243388226022383,0,0,0,1,0,0,1,1,0,0,0
78,5,2015-07-31,5712,610,1,1,1,3510.0,11,2006,1,5,2013,"Feb,May,Aug,Nov",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,106.46666666666667,2,0,31.366666666666667,5,3510.0,0.0,8.650499558724462,1,0,0,0,1,0,0,1,0,0,0
79,5,2015-07-31,7150,643,1,1,1,3320.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,2,0,0.0,5,3320.0,0.0,8.875007486048396,1,0,0,0,1,0,0,1,0,0,0
80,5,2015-07-31,9810,675,1,1,1,7910.0,0,0,0,0,0,None,2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.0,3,0,0.0,5,7910.0,0.0,9.19125948416339,0,0,0,1,1,0,0,1,0,0,0
81,5,2015-07-31,9279,640,1,1,0,2370.0,3,2011,1,40,2014,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,53.766666666666666,2,1,19.2,5,2370.0,2370.0,9.135616825780247,1,0,0,0,1,0,0,1,0,0,0
82,5,2015-07-31,11492,1035,1,1,1,22390.0,4,2008,1,37,2009,"Jan,Apr,Jul,Oct",2015,7,31,31,212,0,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,89.23333333333333,4,1,80.06666666666666,5,22390.0,22390.0,9.349493433368758,1,0,0,0,1,0,0,1,0,0,0
