Store,BranchName,City,Country,Latitude,Longitude,DisplayName
31,Warsaw Prime Store 0031,Warsaw,Poland,52.218568,20.989335,"Warsaw Prime Store 0031 | Warsaw, Poland"
32,Krakow Mall Store 0032,Krakow,Poland,50.097574,19.930675,"Krakow Mall Store 0032 | Krakow, Poland"
33,Wroclaw Flagship Store 0033,Wroclaw,Poland,51.085993,17.04277,"Wroclaw Flagship Store 0033 | Wroclaw, Poland"
34,Prague Central Store 0034,Prague,Czech Republic,50.039592,14.46802,"Prague Central Store 0034 | Prague, Czech Republic"
35,Lisbon Downtown Store 0035,Lisbon,Portugal,38.679755,-9.090611,"Lisbon Downtown Store 0035 | Lisbon, Portugal"
36,Porto Metro Store 0036,Porto,Portugal,41.185124,-8.659228,"Porto Metro Store 0036 | Porto, Portugal"
37,Stockholm Retail Hub Store 0037,Stockholm,Sweden,59.279852,18.100146,"Stockholm Retail Hub Store 0037 | Stockholm, Sweden"
38,Gothenburg Commercial Store 0038,Gothenburg,Sweden,57.729586,11.997501,"Gothenburg Commercial Store 0038 | Gothenburg, Sweden"
39,Oslo Prime Store 0039,Oslo,Norway,59.941027,10.709604,"Oslo Prime Store 0039 | Oslo, Norway"
40,Copenhagen Mall Store 0040,Copenhagen,Denmark,55.661947,12.529887,"Copenhagen Mall Store 0040 | Copenhagen, Denmark"
41,Helsinki Flagship Store 0041,Helsinki,Finland,60.20621,24.95073,"Helsinki Flagship Store 0041 | Helsinki, Finland"
42,Dublin Central Store 0042,Dublin,Ireland,53.33289,-6.303944,"Dublin Central Store 0042 | Dublin, Ireland"
43,Athens Downtown Store 0043,Athens,Greece,37.964898,23.710018,"Athens Downtown Store 0043 | Athens, Greece"
44,Budapest Metro Store 0044,Budapest,Hungary,47.520861,19.053956,"Budapest Metro Store 0044 | Budapest, Hungary"
45,Bucharest Retail Hub Store 0045,Bucharest,Romania,44.465521,26.099721,"Bucharest Retail Hub Store 0045 | Bucharest, Romania"
46,Zagreb Commercial Store 0046,Zagreb,Croatia,45.776959,16.003224,"Zagreb Commercial Store 0046 | Zagreb, Croatia"
47,Belgrade Prime Store 0047,Belgrade,Serbia,44.812679,20.455028,"Belgrade Prime Store 0047 | Belgrade, Serbia"
48,Berlin Mall Store 0048,Berlin,Germany,52.547097,13.40438,"Berlin Mall Store 0048 | Berlin, Germany"
49,Munich Flagship Store 0049,Munich,Germany,48.137373,11.574754,"Munich Flagship Store 0049 | Munich, Germany"
50,Hamburg Central Store 0050,Hamburg,Germany,53.503642,9.954489,"Hamburg Central Store 0050 | Hamburg, Germany"
51,Frankfurt Downtown Store 0051,Frankfurt,Germany,50.064043,8.695741,"Frankfurt Downtown Store 0051 | Frankfurt, Germany"
52,Cologne Metro Store 0052,Cologne,Germany,50.918936,6.961157,"Cologne Metro Store 0052 | Cologne, Germany"
53,Paris Retail Hub Store 0053,Paris,France,48.897357,2.327129,"Paris Retail Hub Store 0053 | Paris, France"
54,Lyon Commercial Store 0054,Lyon,France,45.755038,4.861255,"Lyon Commercial Store 0054 | Lyon, France"
55,Marseille Prime Store 0055,Marseille,France,43.26938,5.327498,"Marseille Prime Store 0055 | Marseille, France"
56,Lille Mall Store 0056,Lille,France,50.608175,3.023422,"Lille Mall Store 0056 | Lille, France"
57,London Flagship Store 0057,London,United Kingdom,51.55037,-0.096988,"London Flagship Store 0057 | London, United Kingdom"
58,Manchester Central Store 0058,Manchester,United Kingdom,53.49414,-2.205454,"Manchester Central Store 0058 | Manchester, United Kingdom"
59,Birmingham Downtown Store 0059,Birmingham,United Kingdom,52.516567,-1.921743,"Birmingham Downtown Store 0059 | Birmingham, United Kingdom"
60,Liverpool Metro Store 0060,Liverpool,United Kingdom,53.447656,-2.987666,"Liverpool Metro Store 0060 | Liverpool, United Kingdom"
61,Rome Retail Hub Store 0061,Rome,Italy,41.933544,12.536009,"Rome Retail Hub Store 0061 | Rome, Italy"
62,Milan Commercial Store 0062,Milan,Italy,45.446,9.151005,"Milan Commercial Store 0062 | Milan, Italy"
63,Naples Prime Store 0063,Naples,Italy,40.824594,14.260811,"Naples Prime Store 0063 | Naples, Italy"
64,Turin Mall Store 0064,Turin,Italy,45.102101,7.722973,"Turin Mall Store 0064 | Turin, Italy"
65,Madrid Flagship Store 0065,Madrid,Spain,40.367495,-3.702725,"Madrid Flagship Store 0065 | Madrid, Spain"
66,Barcelona Central Store 0066,Barcelona,Spain,41.376841,2.145611,"Barcelona Central Store 0066 | Barcelona, Spain"
67,Valencia Downtown Store 0067,Valencia,Spain,39.431887,-0.392538,"Valencia Downtown Store 0067 | Valencia, Spain"
68,Seville Metro Store 0068,Seville,Spain,37.433391,-6.00218,"Seville Metro Store 0068 | Seville, Spain"
69,Amsterdam Retail Hub Store 0069,Amsterdam,Netherlands,52.369479,4.924402,"Amsterdam Retail Hub Store 0069 | Amsterdam, Netherlands"
70,Rotterdam Commercial Store 0070,Rotterdam,Netherlands,51.910763,4.524878,"Rotterdam Commercial Store 0070 | Rotterdam, Netherlands"
71,The Hague Prime Store 0071,The Hague,Netherlands,52.116745,4.275878,"The Hague Prime Store 0071 | The Hague, Netherlands"
72,Brussels Mall Store 0072,Brussels,Belgium,50.850025,4.331788,"Brussels Mall Store 0072 | Brussels, Belgium"
73,Antwerp Flagship Store 0073,Antwerp,Belgium,51.197884,4.356189,"Antwerp Flagship Store 0073 | Antwerp, Belgium"
74,Zurich Central Store 0074,Zurich,Switzerland,47.387856,8.541968,"Zurich Central Store 0074 | Zurich, Switzerland"
75,Geneva Downtown Store 0075,Geneva,Switzerland,46.159548,6.121065,"Geneva Downtown Store 0075 | Geneva, Switzerland"
76,Vienna Metro Store 0076,Vienna,Austria,48.249027,16.347756,"Vienna Metro Store 0076 | Vienna, Austria"
77,Salzburg Retail Hub Store 0077,Salzburg,Austria,47.773989,13.053945,"Salzburg Retail Hub Store 0077 | Salzburg, Austria"
78,Warsaw Commercial Store 0078,Warsaw,Poland,52.278265,20.986406,"Warsaw Commercial Store 0078 | Warsaw, Poland"
79,Krakow Prime Store 0079,Krakow,Poland,50.081914,19.971162,"Krakow Prime Store 0079 | Krakow, Poland"
80,Wroclaw Mall Store 0080,Wroclaw,Poland,51.081664,17.061322,"Wroclaw Mall Store 0080 | Wroclaw, Poland"
81,Prague Flagship Store 0081,Prague,Czech Republic,50.062278,14.451031,"Prague Flagship Store 0081 | Prague, Czech Republic"
82,Lisbon Central Store 0082,Lisbon,Portugal,38.735653,-9.135723,"Lisbon Central Store 0082 | Lisbon, Portugal"
83,Porto Downtown Store 0083,Porto,Portugal,41.116929,-8.59557,"Porto Downtown Store 0083 | Porto, Portugal"
84,Stockholm Metro Store 0084,Stockholm,Sweden,59.311378,18.037252,"Stockholm Metro Store 0084 | Stockholm, Sweden"
85,Gothenburg Retail Hub Store 0085,Gothenburg,Sweden,57.662978,11.983689,"Gothenburg Retail Hub Store 0085 | Gothenburg, Sweden"
86,Oslo Commercial Store 0086,Oslo,Norway,59.931656,10.703859,"Oslo Commercial Store 0086 | Oslo, Norway"
87,Copenhagen Prime Store 0087,Copenhagen,Denmark,55.677309,12.54095,"Copenhagen Prime Store 0087 | Copenhagen, Denmark"
88,Helsinki Mall Store 0088,Helsinki,Finland,60.184417,24.905837,"Helsinki Mall Store 0088 | Helsinki, Finland"
89,Dublin Flagship Store 0089,Dublin,Ireland,53.368894,-6.271626,"Dublin Flagship Store 0089 | Dublin, Ireland"
90,Athens Central Store 0090,Athens,Greece,38.027473,23.691252,"Athens Central Store 0090 | Athens, Greece"
91,Budapest Downtown Store 0091,Budapest,Hungary,47.482007,19.001547,"Budapest Downtown Store 0091 | Budapest, Hungary"
92,Bucharest Metro Store 0092,Bucharest,Romania,44.469269,26.140234,"Bucharest Metro Store 0092 | Bucharest, Romania"
93,Zagreb Retail Hub Store 0093,Zagreb,Croatia,45.790794,15.997898,"Zagreb Retail Hub Store 0093 | Zagreb, Croatia"
94,Belgrade Commercial Store 0094,Belgrade,Serbia,44.818322,20.45442,"Belgrade Commercial Store 0094 | Belgrade, Serbia"
95,Berlin Prime Store 0095,Berlin,Germany,52.522965,13.379185,"Berlin Prime Store 0095 | Berlin, Germany"
96,Munich Mall Store 0096,Munich,Germany,48.09441,11.621722,"Munich Mall Store 0096 | Munich, Germany"
97,Hamburg Flagship Store 0097,Hamburg,Germany,53.591142,10.00701,"Hamburg Flagship Store 0097 | Hamburg, Germany"
98,Frankfurt Central Store 0098,Frankfurt,Germany,50.094803,8.667021,"Frankfurt Central Store 0098 | Frankfurt, Germany"
99,Cologne Downtown Store 0099,Cologne,Germany,50.960096,7.000011,"Cologne Downtown Store 0099 | Cologne, Germany"
100,Paris Metro Store 0100,Paris,France,48.895309,2.380188,"Paris Metro Store 0100 | Paris, France"
101,Lyon Retail Hub Store 0101,Lyon,France,45.778203,4.794114,"Lyon Retail Hub Store 0101 | Lyon, France"
102,Marseille Commercial Store 0102,Marseille,France,43.262663,5.409655,"Marseille Commercial Store 0102 | Marseille, France"
103,Lille Prime Store 0103,Lille,France,50.639843,3.00822,"Lille Prime Store 0103 | Lille, France"
104,London Mall Store 0104,London,United Kingdom,51.467547,-0.11145,"London Mall Store 0104 | London, United Kingdom"
105,Manchester Flagship Store 0105,Manchester,United Kingdom,53.431306,-2.276519,"Manchester Flagship Store 0105 | Manchester, United Kingdom"
106,Birmingham Central Store 0106,Birmingham,United Kingdom,52.491073,-1.87121,"Birmingham Central Store 0106 | Birmingham, United Kingdom"
107,Liverpool Downtown Store 0107,Liverpool,United Kingdom,53.423596,-3.019173,"Liverpool Downtown Store 0107 | Liverpool, United Kingdom"
108,Rome Metro Store 0108,Rome,Italy,41.924018,12.470125,"Rome Metro Store 0108 | Rome, Italy"
109,Milan Retail Hub Store 0109,Milan,Italy,45.44674,9.214649,"Milan Retail Hub Store 0109 | Milan, Italy"
110,Naples Commercial Store 0110,Naples,Italy,40.866763,14.303022,"Naples Commercial Store 0110 | Naples, Italy"
111,Turin Prime Store 0111,Turin,Italy,45.086061,7.693731,"Turin Prime Store 0111 | Turin, Italy"
112,Madrid Mall Store 0112,Madrid,Spain,40.376167,-3.717028,"Madrid Mall Store 0112 | Madrid, Spain"
113,Barcelona Flagship Store 0113,Barcelona,Spain,41.36162,2.147799,"Barcelona Flagship Store 0113 | Barcelona, Spain"
114,Valencia Central Store 0114,Valencia,Spain,39.517201,-0.38699,"Valencia Central Store 0114 | Valencia, Spain"
115,Seville Downtown Store 0115,Seville,Spain,37.428305,-5.971386,"Seville Downtown Store 0115 | Seville, Spain"
116,Amsterdam Metro Store 0116,Amsterdam,Netherlands,52.397081,4.904364,"Amsterdam Metro Store 0116 | Amsterdam, Netherlands"
117,Rotterdam Retail Hub Store 0117,Rotterdam,Netherlands,51.93209,4.476952,"Rotterdam Retail Hub Store 0117 | Rotterdam, Netherlands"
118,The Hague Commercial Store 0118,The Hague,Netherlands,52.040024,4.322945,"The Hague Commercial Store 0118 | The Hague, Netherlands"
119,Brussels Prime Store 0119,Brussels,Belgium,50.828377,4.304132,"Brussels Prime Store 0119 | Brussels, Belgium"
120,Antwerp Mall Store 0120,Antwerp,Belgium,51.233947,4.370211,"Antwerp Mall Store 0120 | Antwerp, Belgium"
121,Zurich Flagship Store 0121,Zurich,Switzerland,47.420946,8.587093,"Zurich Flagship Store 0121 | Zurich, Switzerland"
122,Geneva Central Store 0122,Geneva,Switzerland,46.245886,6.130216,"Geneva Central Store 0122 | Geneva, Switzerland"
123,Vienna Downtown Store 0123,Vienna,Austria,48.159746,16.416632,"Vienna Downtown Store 0123 | Vienna, Austria"
124,Salzburg Metro Store 0124,Salzburg,Austria,47.802318,13.101665,"Salzburg Metro Store 0124 | Salzburg, Austria"
125,Warsaw Retail Hub Store 0125,Warsaw,Poland,52.276062,21.047501,"Warsaw Retail Hub Store 0125 | Warsaw, Poland"
126,Krakow Commercial Store 0126,Krakow,Poland,50.044145,19.93351,"Krakow Commercial Store 0126 | Krakow, Poland"
127,Wroclaw Prime Store 0127,Wroclaw,Poland,51.143014,17.020192,"Wroclaw Prime Store 0127 | Wroclaw, Poland"
128,Prague Mall Store 0128,Prague,Czech Republic,50.042449,14.44348,"Prague Mall Store 0128 | Prague, Czech Republic"
129,Lisbon Flagship Store 0129,Lisbon,Portugal,38.765915,-9.119697,"Lisbon Flagship Store 0129 | Lisbon, Portugal"
130,Porto Central Store 0130,Porto,Portugal,41.164906,-8.669382,"Porto Central Store 0130 | Porto, Portugal"
131,Stockholm Downtown Store 0131,Stockholm,Sweden,59.340801,18.117605,"Stockholm Downtown Store 0131 | Stockholm, Sweden"
132,Gothenburg Metro Store 0132,Gothenburg,Sweden,57.672908,11.976433,"Gothenburg Metro Store 0132 | Gothenburg, Sweden"
133,Oslo Retail Hub Store 0133,Oslo,Norway,59.951637,10.776277,"Oslo Retail Hub Store 0133 | Oslo, Norway"
134,Copenhagen Commercial Store 0134,Copenhagen,Denmark,55.695802,12.588548,"Copenhagen Commercial Store 0134 | Copenhagen, Denmark"
135,Helsinki Prime Store 0135,Helsinki,Finland,60.155849,24.917759,"Helsinki Prime Store 0135 | Helsinki, Finland"
136,Dublin Mall Store 0136,Dublin,Ireland,53.380736,-6.229289,"Dublin Mall Store 0136 | Dublin, Ireland"
137,Athens Flagship Store 0137,Athens,Greece,38.020507,23.768824,"Athens Flagship Store 0137 | Athens, Greece"
138,Budapest Central Store 0138,Budapest,Hungary,47.499034,19.040352,"Budapest Central Store 0138 | Budapest, Hungary"
139,Bucharest Downtown Store 0139,Bucharest,Romania,44.45663,26.117496,"Bucharest Downtown Store 0139 | Bucharest, Romania"
140,Zagreb Metro Store 0140,Zagreb,Croatia,45.835197,16.011479,"Zagreb Metro Store 0140 | Zagreb, Croatia"
141,Belgrade Retail Hub Store 0141,Belgrade,Serbia,44.825601,20.4327,"Belgrade Retail Hub Store 0141 | Belgrade, Serbia"
142,Berlin Commercial Store 0142,Berlin,Germany,52.507558,13.364398,"Berlin Commercial Store 0142 | Berlin, Germany"
143,Munich Prime Store 0143,Munich,Germany,48.142928,11.535594,"Munich Prime Store 0143 | Munich, Germany"
144,Hamburg Mall Store 0144,Hamburg,Germany,53.54766,9.997964,"Hamburg Mall Store 0144 | Hamburg, Germany"
145,Frankfurt Flagship Store 0145,Frankfurt,Germany,50.089554,8.691183,"Frankfurt Flagship Store 0145 | Frankfurt, Germany"
146,Cologne Central Store 0146,Cologne,Germany,50.89055,6.914035,"Cologne Central Store 0146 | Cologne, Germany"
147,Paris Downtown Store 0147,Paris,France,48.88886,2.338219,"Paris Downtown Store 0147 | Paris, France"
148,Lyon Metro Store 0148,Lyon,France,45.726706,4.837924,"Lyon Metro Store 0148 | Lyon, France"
149,Marseille Retail Hub Store 0149,Marseille,France,43.323499,5.341382,"Marseille Retail Hub Store 0149 | Marseille, France"
150,Lille Commercial Store 0150,Lille,France,50.641489,3.015835,"Lille Commercial Store 0150 | Lille, France"
151,London Prime Store 0151,London,United Kingdom,51.462568,-0.124665,"London Prime Store 0151 | London, United Kingdom"
152,Manchester Mall Store 0152,Manchester,United Kingdom,53.484864,-2.228857,"Manchester Mall Store 0152 | Manchester, United Kingdom"
153,Birmingham Flagship Store 0153,Birmingham,United Kingdom,52.508809,-1.842815,"Birmingham Flagship Store 0153 | Birmingham, United Kingdom"
154,Liverpool Central Store 0154,Liverpool,United Kingdom,53.41003,-3.009304,"Liverpool Central Store 0154 | Liverpool, United Kingdom"
155,Rome Downtown Store 0155,Rome,Italy,41.932319,12.473483,"Rome Downtown Store 0155 | Rome, Italy"
156,Milan Metro Store 0156,Milan,Italy,45.458097,9.147846,"Milan Metro Store 0156 | Milan, Italy"
157,Naples Retail Hub Store 0157,Naples,Italy,40.804335,14.314365,"Naples Retail Hub Store 0157 | Naples, Italy"
158,Turin Commercial Store 0158,Turin,Italy,45.103898,7.706497,"Turin Commercial Store 0158 | Turin, Italy"
159,Madrid Prime Store 0159,Madrid,Spain,40.407695,-3.736471,"Madrid Prime Store 0159 | Madrid, Spain"
160,Barcelona Mall Store 0160,Barcelona,Spain,41.350744,2.148424,"Barcelona Mall Store 0160 | Barcelona, Spain"
161,Valencia Flagship Store 0161,Valencia,Spain,39.474823,-0.35484,"Valencia Flagship Store 0161 | Valencia, Spain"
162,Seville Central Store 0162,Seville,Spain,37.40512,-6.006507,"Seville Central Store 0162 | Seville, Spain"
163,Amsterdam Downtown Store 0163,Amsterdam,Netherlands,52.413087,4.92789,"Amsterdam Downtown Store 0163 | Amsterdam, Netherlands"
164,Rotterdam Metro Store 0164,Rotterdam,Netherlands,51.929835,4.488872,"Rotterdam Metro Store 0164 | Rotterdam, Netherlands"
165,The Hague Retail Hub Store 0165,The Hague,Netherlands,52.06246,4.275473,"The Hague Retail Hub Store 0165 | The Hague, Netherlands"
166,Brussels Commercial Store 0166,Brussels,Belgium,50.835897,4.377485,"Brussels Commercial Store 0166 | Brussels, Belgium"
167,Antwerp Prime Store 0167,Antwerp,Belgium,51.170839,4.364107,"Antwerp Prime Store 0167 | Antwerp, Belgium"
168,Zurich Mall Store 0168,Zurich,Switzerland,47.3315,8.495773,"Zurich Mall Store 0168 | Zurich, Switzerland"
169,Geneva Flagship Store 0169,Geneva,Switzerland,46.239946,6.163566,"Geneva Flagship Store 0169 | Geneva, Switzerland"
170,Vienna Central Store 0170,Vienna,Austria,48.205617,16.333583,"Vienna Central Store 0170 | Vienna, Austria"
171,Salzburg Downtown Store 0171,Salzburg,Austria,47.808662,13.052347,"Salzburg Downtown Store 0171 | Salzburg, Austria"
172,Warsaw Metro Store 0172,Warsaw,Poland,52.19702,21.005585,"Warsaw Metro Store 0172 | Warsaw, Poland"
173,Krakow Retail Hub Store 0173,Krakow,Poland,50.05455,19.956585,"Krakow Retail Hub Store 0173 | Krakow, Poland"
174,Wroclaw Commercial Store 0174,Wroclaw,Poland,51.121409,16.99303,"Wroclaw Commercial Store 0174 | Wroclaw, Poland"
175,Prague Prime Store 0175,Prague,Czech Republic,50.062961,14.450386,"Prague Prime Store 0175 | Prague, Czech Republic"
176,Lisbon Mall Store 0176,Lisbon,Portugal,38.722614,-9.103651,"Lisbon Mall Store 0176 | Lisbon, Portugal"
177,Porto Flagship Store 0177,Porto,Portugal,41.173769,-8.662807,"Porto Flagship Store 0177 | Porto, Portugal"
178,Stockholm Central Store 0178,Stockholm,Sweden,59.286357,18.082842,"Stockholm Central Store 0178 | Stockholm, Sweden"
179,Gothenburg Downtown Store 0179,Gothenburg,Sweden,57.661551,11.983178,"Gothenburg Downtown Store 0179 | Gothenburg, Sweden"
180,Oslo Metro Store 0180,Oslo,Norway,59.957923,10.759747,"Oslo Metro Store 0180 | Oslo, Norway"
181,Copenhagen Retail Hub Store 0181,Copenhagen,Denmark,55.664917,12.582629,"Copenhagen Retail Hub Store 0181 | Copenhagen, Denmark"
182,Helsinki Commercial Store 0182,Helsinki,Finland,60.165725,24.942962,"Helsinki Commercial Store 0182 | Helsinki, Finland"
183,Dublin Prime Store 0183,Dublin,Ireland,53.393946,-6.27169,"Dublin Prime Store 0183 | Dublin, Ireland"
184,Athens Mall Store 0184,Athens,Greece,38.029919,23.768035,"Athens Mall Store 0184 | Athens, Greece"
185,Budapest Flagship Store 0185,Budapest,Hungary,47.467479,18.997136,"Budapest Flagship Store 0185 | Budapest, Hungary"
186,Bucharest Central Store 0186,Bucharest,Romania,44.386878,26.054322,"Bucharest Central Store 0186 | Bucharest, Romania"
187,Zagreb Downtown Store 0187,Zagreb,Croatia,45.774444,16.000201,"Zagreb Downtown Store 0187 | Zagreb, Croatia"
188,Belgrade Metro Store 0188,Belgrade,Serbia,44.743719,20.430798,"Belgrade Metro Store 0188 | Belgrade, Serbia"
189,Berlin Retail Hub Store 0189,Berlin,Germany,52.554488,13.357327,"Berlin Retail Hub Store 0189 | Berlin, Germany"
190,Munich Commercial Store 0190,Munich,Germany,48.166547,11.560185,"Munich Commercial Store 0190 | Munich, Germany"
191,Hamburg Prime Store 0191,Hamburg,Germany,53.512916,10.013374,"Hamburg Prime Store 0191 | Hamburg, Germany"
192,Frankfurt Mall Store 0192,Frankfurt,Germany,50.123794,8.719847,"Frankfurt Mall Store 0192 | Frankfurt, Germany"
193,Cologne Flagship Store 0193,Cologne,Germany,50.961007,6.990648,"Cologne Flagship Store 0193 | Cologne, Germany"
194,Paris Central Store 0194,Paris,France,48.834803,2.319944,"Paris Central Store 0194 | Paris, France"
195,Lyon Downtown Store 0195,Lyon,France,45.789061,4.866383,"Lyon Downtown Store 0195 | Lyon, France"
196,Marseille Metro Store 0196,Marseille,France,43.345551,5.361062,"Marseille Metro Store 0196 | Marseille, France"
197,Lille Retail Hub Store 0197,Lille,France,50.616402,3.084941,"Lille Retail Hub Store 0197 | Lille, France"
198,London Commercial Store 0198,London,United Kingdom,51.49148,-0.084724,"London Commercial Store 0198 | London, United Kingdom"
199,Manchester Prime Store 0199,Manchester,United Kingdom,53.516641,-2.249701,"Manchester Prime Store 0199 | Manchester, United Kingdom"
200,Birmingham Mall Store 0200,Birmingham,United Kingdom,52.511287,-1.864946,"Birmingham Mall Store 0200 | Birmingham, United Kingdom"
201,Liverpool Flagship Store 0201,Liverpool,United Kingdom,53.368712,-2.951345,"Liverpool Flagship Store 0201 | Liverpool, United Kingdom"
202,Rome Central Store 0202,Rome,Italy,41.903325,12.529046,"Rome Central Store 0202 | Rome, Italy"
203,Milan Downtown Store 0203,Milan,Italy,45.446205,9.229552,"Milan Downtown Store 0203 | Milan, Italy"
204,Naples Metro Store 0204,Naples,Italy,40.84072,14.219184,"Naples Metro Store 0204 | Naples, Italy"
205,Turin Retail Hub Store 0205,Turin,Italy,45.110838,7.646029,"Turin Retail Hub Store 0205 | Turin, Italy"
206,Madrid Commercial Store 0206,Madrid,Spain,40.398731,-3.658794,"Madrid Commercial Store 0206 | Madrid, Spain"
207,Barcelona Prime Store 0207,Barcelona,Spain,41.430161,2.180744,"Barcelona Prime Store 0207 | Barcelona, Spain"
208,Valencia Mall Store 0208,Valencia,Spain,39.483084,-0.381455,"Valencia Mall Store 0208 | Valencia, Spain"
209,Seville Flagship Store 0209,Seville,Spain,37.368421,-6.001634,"Seville Flagship Store 0209 | Seville, Spain"
210,Amsterdam Central Store 0210,Amsterdam,Netherlands,52.384852,4.929337,"Amsterdam Central Store 0210 | Amsterdam, Netherlands"
211,Rotterdam Downtown Store 0211,Rotterdam,Netherlands,51.953558,4.506662,"Rotterdam Downtown Store 0211 | Rotterdam, Netherlands"
212,The Hague Metro Store 0212,The Hague,Netherlands,52.029621,4.300142,"The Hague Metro Store 0212 | The Hague, Netherlands"
213,Brussels Retail Hub Store 0213,Brussels,Belgium,50.806056,4.356653,"Brussels Retail Hub Store 0213 | Brussels, Belgium"
214,Antwerp Commercial Store 0214,Antwerp,Belgium,51.213553,4.44127,"Antwerp Commercial Store 0214 | Antwerp, Belgium"
215,Zurich Prime Store 0215,Zurich,Switzerland,47.361992,8.503407,"Zurich Prime Store 0215 | Zurich, Switzerland"
216,Geneva Mall Store 0216,Geneva,Switzerland,46.168699,6.169351,"Geneva Mall Store 0216 | Geneva, Switzerland"
217,Vienna Flagship Store 0217,Vienna,Austria,48.220022,16.333912,"Vienna Flagship Store 0217 | Vienna, Austria"
218,Salzburg Central Store 0218,Salzburg,Austria,47.767911,13.075097,"Salzburg Central Store 0218 | Salzburg, Austria"
219,Warsaw Downtown Store 0219,Warsaw,Poland,52.186976,21.044386,"Warsaw Downtown Store 0219 | Warsaw, Poland"
220,Krakow Metro Store 0220,Krakow,Poland,50.085324,19.903135,"Krakow Metro Store 0220 | Krakow, Poland"
221,Wroclaw Retail Hub Store 0221,Wroclaw,Poland,51.066384,17.087164,"Wroclaw Retail Hub Store 0221 | Wroclaw, Poland"
222,Prague Commercial Store 0222,Prague,Czech Republic,50.062927,14.424864,"Prague Commercial Store 0222 | Prague, Czech Republic"
223,Lisbon Prime Store 0223,Lisbon,Portugal,38.75358,-9.094575,"Lisbon Prime Store 0223 | Lisbon, Portugal"
